10m	Ten man
1337	Leet
1up	Extra life
25m	Twenty-five man
2EZ	Too easy
2M2H	Too much to handle
360-noscope	360 no scope
3arc	Treyarch
555	Laughing
aa	Autoattack
Ace	Solo winner
AD	Attack damage
ADAM	All draft all mid
ADC	Attack damage carry
adds	Additional mobs
ADS	Aiming down sight
AE	Area of effect
AF	Aggression factor
AFC	Away from controller
AFC	Away from computer
AFK	Away from keyboard
aggro	Aggression
agi	Agility
AH	Auction house
AI	Artificial intelligence
AI	All in
Aimbot	Automatic aiming bot
aipf	All in preflop
ak	AK-47
alt	Alternate character
ammo	Ammunition
AOE	Area of effect
AOI	A** on ice
AON	All or nothing
AP	Attack power
AP	Ability power
APM	Actions per minute
AR	Assault rifle
ARAM	All random all mid
arp	Armor penetration
arpen	Armor penetration
ARTS	Action real-time strategy
AS	Attack speed
ATM	At the moment
AYBABTU	All your base are belong to us
AYC	Are you coming?
b/r	Bathroom
Baller	Cool person
BAMF	Bad a** mother f*****
Barcraft	Bar gathering for StarCraft
BASOR	Breathing a sigh of relief
BB	Big blind
bb/100	Big bets per 100 hands
BBIAB	Be back in a bit
BBL	Be back later
BBOL	Be back on later
BC	Burning Crusade
bd	Backdoor
Beast	Awesome person
belf	Blood Elf
BF	B.F. Sword
BFG	Big friggin' gun
BG	Bad game
bg	Battleground
bio	Bathroom
Bio	Biological units
BIO	Bring it on
Bioball	Biological unit group
BIS	Best in slot
BK	Back
bling	Baneling
Blizz	Blizzard
blops	Black Ops
BM	Bad manner
BM	Bite me
BO	Build order
BO3	Best of three
BO5	Best of five
BOE	Bind on equip
Boomkin	Moonkin druid
Boomstick	Doom shotgun
Boosting	Unfair level boosting
BOP	Bind on pickup
Boss	Awesome person
bot	Bottom lane
BOT	Be on that
boyds	Back off you dipstick
BP	Blue pilling
BR	Bathroom
BR	Bank roll
brez	Battle resurrection
BRH	Be right here
broom	Bathroom
BSTS	Better safe than sorry
bthrm	Bathroom
BUF	Big ugly fellow
Buff	Strengthen
Bunnies	First-person shooter jumping
BWL	Bursting with laughter
Camping	Holding position
Carry	MOBA player role
cata	Cataclysm
CC	Command Center
CC	Crowd control
CCG	Collectible card game
cd	Cooldown
cdr	Cooldown reduction
char	Character
chargelot	Charge Zealot
Cheese	Cheap strategy
Choob	Skilled player who intentionally plays badly
CNRHKYITF	Chuck Norris roundhouse kick you in the face
COD	Call of Duty
combo	Combination
CQC	Close quarters combat
crit	Critical Strike
CS	Creep score
CTF	Capture the flag
d/c	Disconnected
d/l	Download
D3	Diablo 3
dal	Dalaran
DBG	Don't be gay
DBM	Deadly Boss Mods
dc	Disconnect
dced	Disconnected
de	Disenchant
deagle	Desert Eagle
Debuff	Weakening effect
ded	Dead
deeps	Damage per second
def	Defense
dfg	Deathfire Grasp
DFL	Dead freaking last
DGA	Don't go anywhere
DIAF	Die in a fire
Ding	Level up
disc	Discipline
DK	Don't know
DKP	Dragon kill points
dl	Download
dlc	Downloadable content
DM	Death match
dmg	Damage
Domed	Headshotted
DON	Double or nothing
DOT	Damage over time
DOTA	Defense of the Ancients
DPS	Damage per second
dq	Disqualify
dstr8	Dang straight
DT	Dark templar
Dunking	Owning enemy player
DYFI	Did you find it?
e1	Everyone
EA	Electronic Arts
EAK	Eating at keyboard
EG	Evil grin
EI	Eat it
Elo	Elo rating system
EPM	Effective actions per minute
ESAD	Eat s*** and die
eSports	Electronic sports
ezpz	Easy peasy
F2P	Free to play
Facepalm	To place the palm of your hand on your face
Fail	Failure
farming	Earning experience and items
FF	Faerie fire
FF	Focus fire
FF	Final Fantasy
FFA	Free for all
FFE	Forge fast expand
FFF	Fight for first
FFS	For f***'s sake
FH	F***ing Heck
FMJ	Full metal jacket
FOC	Free of charge
FOS	Feat of strength
FP	Flight point
FPS	First-person shooter
frag	Player kill
FTEL	For the epic loss
FTEW	For the epic win
FTK	For the kill
FTL	For the loss
FTMFW	For the mother f***ing win
FTW	For the win
FUBAR	Fouled up beyond all recognition
G1	Good one
G2G	Gotta go
G2GGS2D	Got to go get something to drink
G2GP	Got to go pee
G4I	Go for it
GAL	Get a life
Gamer	Video game player
GB	Guild bank
GBA	Gameboy Advance
GFG	Good friggin' game
GG	Good game
GGA	Good game all
GGL	Good game loser
gglords	Broodlords
GGP	Gotta go pee
ggs	Good games
Ghosting	Observing an enemy player
gibs	Giblets
GJ	Good job
GJP	Good job partner
GL	Good luck
GL2U	Good luck to you
GLE	Good luck everyone
GLHF	Good luck have fun
GM	Good move
GM	Good match
GM	Game master
gm	Grandmaster
GNE1	Good night everyone
gnight	Good night
gnite	Goodnight
Gogo	Go now
GOML	Get on my level
Gosu	Highly skilled
GOW	Gears of War
GOW2	Gears of War 2
grats	Congratulations
gratz	Congratulations
Grinding	Playing long hours
grr	Anger
GS	Gear score
GS	Good shot
GSL	Global StarCraft League
GSTL	Global StarCraft Team League
GTA	Grand Theft Auto
GTFO	Get the f*** out
GTFOOH	Get the f*** out of here
GTG	Got to go
GTG	Good to go
HAN	How about now?
hax	Hacks
Haxor	Hacker
HDYLMN	How do you like me now
HE	Hold'em
HF	Have fun
hi5	High five
HL	Half-Life
HM	Hard mode
HOAS	Heck of a shot
HOF	Hall of fame
HOIC	Hold on, I'm coming
