           pi's smiley list

:-)        Happy.
:)         Happy midget smiley.
;-)        Winky.
:-(        Sad.
:->        Sarcastic smiley.
>:->       User just made a really devilish remark.
>;->       Winky and devil combined. A very lewd remark was just made.
%-)        User has been staring at a green screen for 15 hours straight.
#-)        Oh, what a night!
:-I        Indifferent smiley.
(-:        User is left handed.
:-D        User is laughing (at you!).
:-O        Oops/Surprise/Yelling/Shocked.
:-o        Uh oh!
:*)        User is drunk.
8-)        User is wearing sunglasses.
:'-(       User is crying.
:'-)       User is so happy, s/he is crying.
(:-)       Bald/Egghead.
:-@        Screaming/Swearing/Very Angry/About To Be Sick.
:-#        Been Smacked In The Mouth/Wears A Brace/My lips are sealed.
:-0        No Yelling!  (Quiet Lab).
:-P        Sticking Out Tongue.
:-S        User just made an incoherent statement.
:-X        A Kiss/Lips Are Sealed.
8-O        Omigod!!
O :-)      User is an angel (at heart, at least).
~~:-(      So stupid, smoke is coming out of your brain.
:-&        User is tongue tied.
:-$        Biting one's tongue/Put Your Money Where Your Mouth Is.
:-"        Whistling smiley.
|-I        User is asleep.
|-o        Bored.
|-O        User is yawning/snoring.
-:-)       User is a punk rocker.
-:-(       Real punk rockers don't smile.
=:-)       Smiley is a punk rocker.
=:-(       Real punk rockers don't smile.
8:-)       A Pig/A Little Girl/Glasses on forhead.
:-)-8      User is a Big girl.
:-)8<      Big girl smiley.
':-)       Has One Eyebrow.
,:-)       Same thing...other side.
:-Q        User is a smoker.
:-?        User smokes a pipe.
:-{        Mustache.
:-{)       User has a mustache.
{:-)       User wears a toupee.
}:-(       Toupee in an updraft.
B-)        User wears horn-rimmed glasses.
:-{}       User wears lipstick.
::-)       User wears glasses.
[:-)       User is wearing a walkman.
[:]        User is a robot.
[]         Hugs and ...
]:->       The Devil.
)8-)       Smiley is ready to party all night.
+-:-)      User is the Pope or holds some other religious office.
;^)        Smirking.
!-(        Black Eye.
#:-)       Matted Hair/Fur Hat/Crewcut/Messy Hair.
$-)        Yuppie/Just Won A Large Sum Of Money.
%-\        Has A Hangover.
%-6        User is braindead.
&-|        That made me cry.
&-e        Disappointed smiley.
&:-)       Curly Hair.
(-)        Needs A Haircut.
(-:|:-)    Siamese Twins.
(:+)       Has A Big Nose.
(:-(       The saddest smiley.
